2023-09-29 07:20:53 | createUserInDatabase | INFO | Creating default user admin in database.
2023-09-29 08:34:14 | getCartItemsFromDb | INFO | Cart Items: [Cart{item=Item{id=233, itemPrice=500.0}, itemQuantity=5}, Cart{item=Item{id=3000, itemPrice=300.0}, itemQuantity=5}]
2023-09-29 08:34:15 | billing | INFO | Billing Completed for order 9!..
2023-09-29 08:34:25 | printReceipt | INFO | Printing Receipt Completed.
2023-09-29 08:36:08 | createUserInDatabase | INFO | Creating default user admin in database.
2023-09-29 08:36:08 | createUserInDatabase | INFO | Exception Creating User: User with username admin already exists!
2023-09-29 08:36:09 | createBillingTrigger | INFO | Trigger exists, skipping creation.
2023-09-29 08:38:33 | login | INFO | Login attempt from: admin successful 

2023-09-29 08:38:51 | menu | INFO | Only Integers Are Allowed: null
2023-09-29 08:39:05 | createOrderInDatabase | INFO | Order Created In the Database Successfully
2023-09-29 08:39:05 | createOrderInDatabase | INFO | Retrieving the Order ID...
2023-09-29 08:39:05 | createOrderInDatabase | INFO | Order ID Retrieval Completed.10
2023-09-29 08:39:05 | insertOrderItemsToDatabase | INFO | Batch Insert of cart items into database completed.
2023-09-29 08:39:05 | getCartItemsFromDb | INFO | Cart Items start retrieving from the database.
2023-09-29 08:39:05 | getCartItemsFromDb | INFO | Cart Items retrieval finished from the database.
2023-09-29 08:39:05 | getCartItemsFromDb | INFO | Cart Items: [Cart{item=Item{id=345, itemPrice=400.0}, itemQuantity=5}]
2023-09-29 08:39:06 | billing | INFO | Billing Completed for order 10!..
2023-09-29 08:39:11 | menu | INFO | Only Integers Are Allowed: null
2023-09-29 08:39:38 | createUserInDatabase | INFO | Creating default user admin in database.
2023-09-29 08:39:39 | createUserInDatabase | INFO | Exception Creating User: User with username admin already exists!
2023-09-29 08:39:39 | createBillingTrigger | INFO | Trigger exists, skipping creation.
2023-09-29 08:39:53 | createUserInDatabase | INFO | Creating default user admin in database.
2023-09-29 08:39:54 | createUserInDatabase | INFO | Exception Creating User: User with username admin already exists!
2023-09-29 08:39:54 | createBillingTrigger | INFO | Trigger exists, skipping creation.
2023-09-29 08:39:59 | login | INFO | Login attempt from: admin successful 

2023-09-29 08:40:49 | createOrderInDatabase | INFO | Order Created In the Database Successfully
2023-09-29 08:40:49 | createOrderInDatabase | INFO | Retrieving the Order ID...
2023-09-29 08:40:49 | createOrderInDatabase | INFO | Order ID Retrieval Completed.11
2023-09-29 08:40:49 | insertOrderItemsToDatabase | INFO | Batch Insert of cart items into database completed.
2023-09-29 08:40:50 | getCartItemsFromDb | INFO | Cart Items start retrieving from the database.
2023-09-29 08:40:50 | getCartItemsFromDb | INFO | Cart Items retrieval finished from the database.
2023-09-29 08:40:50 | getCartItemsFromDb | INFO | Cart Items: [Cart{item=Item{id=200, itemPrice=200.0}, itemQuantity=4}, Cart{item=Item{id=300, itemPrice=300.0}, itemQuantity=6}, Cart{item=Item{id=400, itemPrice=400.0}, itemQuantity=9}, Cart{item=Item{id=500, itemPrice=500.0}, itemQuantity=2}, Cart{item=Item{id=789, itemPrice=4.0}, itemQuantity=98}]
2023-09-29 08:40:50 | billing | INFO | Billing Completed for order 11!..
2023-09-29 08:40:58 | menu | INFO | Only Integers Are Allowed: null
2023-09-29 08:45:45 | createUserInDatabase | INFO | Creating default user admin in database.
2023-09-29 08:45:45 | createUserInDatabase | INFO | Exception Creating User: User with username admin already exists!
2023-09-29 08:45:46 | createBillingTrigger | INFO | Trigger exists, skipping creation.
2023-09-29 08:46:03 | login | INFO | Login attempt from: admin successful 

2023-09-29 08:46:13 | createOrderInDatabase | INFO | Order Created In the Database Successfully
2023-09-29 08:46:13 | createOrderInDatabase | INFO | Retrieving the Order ID...
2023-09-29 08:46:13 | createOrderInDatabase | INFO | Order ID Retrieval Completed.12
2023-09-29 08:46:13 | insertOrderItemsToDatabase | INFO | Batch Insert of cart items into database completed.
2023-09-29 08:46:13 | getCartItemsFromDb | INFO | Cart Items start retrieving from the database.
2023-09-29 08:46:13 | getCartItemsFromDb | INFO | Cart Items retrieval finished from the database.
2023-09-29 08:46:13 | getCartItemsFromDb | INFO | Cart Items: [Cart{item=Item{id=345, itemPrice=200.0}, itemQuantity=20}]
2023-09-29 08:46:13 | billing | INFO | Billing Completed for order 12!..
2023-09-29 08:46:17 | payment | INFO | Amount Can only be an integer: null
2023-09-29 08:47:20 | createUserInDatabase | INFO | Creating default user admin in database.
2023-09-29 08:47:20 | createUserInDatabase | INFO | Exception Creating User: User with username admin already exists!
2023-09-29 08:47:21 | createBillingTrigger | INFO | Trigger exists, skipping creation.
2023-09-29 08:47:27 | login | INFO | Login attempt from: admin successful 

2023-09-29 08:47:39 | createOrderInDatabase | INFO | Order Created In the Database Successfully
2023-09-29 08:47:39 | createOrderInDatabase | INFO | Retrieving the Order ID...
2023-09-29 08:47:39 | createOrderInDatabase | INFO | Order ID Retrieval Completed.13
2023-09-29 08:47:40 | insertOrderItemsToDatabase | INFO | Batch Insert of cart items into database completed.
2023-09-29 08:47:40 | getCartItemsFromDb | INFO | Cart Items start retrieving from the database.
2023-09-29 08:47:40 | getCartItemsFromDb | INFO | Cart Items retrieval finished from the database.
2023-09-29 08:47:40 | getCartItemsFromDb | INFO | Cart Items: [Cart{item=Item{id=234, itemPrice=400.0}, itemQuantity=5}]
2023-09-29 08:47:40 | billing | INFO | Billing Completed for order 13!..
2023-09-29 08:47:42 | payment | INFO | Amount Can only be an integer: null
2023-09-29 08:47:45 | createOrderInDatabase | INFO | Order Created In the Database Successfully
2023-09-29 08:47:45 | createOrderInDatabase | INFO | Retrieving the Order ID...
2023-09-29 08:47:45 | createOrderInDatabase | INFO | Order ID Retrieval Completed.14
2023-09-29 08:47:45 | insertOrderItemsToDatabase | INFO | Batch Insert of cart items into database completed.
2023-09-29 08:47:46 | getCartItemsFromDb | INFO | Cart Items start retrieving from the database.
2023-09-29 08:47:46 | getCartItemsFromDb | INFO | Cart Items retrieval finished from the database.
2023-09-29 08:47:46 | getCartItemsFromDb | INFO | Cart Items: [Cart{item=Item{id=234, itemPrice=400.0}, itemQuantity=5}]
2023-09-29 08:47:46 | billing | INFO | Billing Completed for order 14!..
2023-09-29 08:51:10 | printReceipt | INFO | Printing Receipt Completed.
2023-09-29 08:51:16 | printReceipt | INFO | Printing Receipt Completed.
2023-09-29 08:51:39 | createUserInDatabase | INFO | Creating default user admin in database.
2023-09-29 08:51:39 | createUserInDatabase | INFO | Exception Creating User: User with username admin already exists!
2023-09-29 08:51:39 | createBillingTrigger | INFO | Trigger exists, skipping creation.
2023-09-29 08:51:48 | login | INFO | Login attempt from: admin successful 

2023-09-29 08:54:51 | createUserInDatabase | INFO | Creating default user admin in database.
2023-09-29 08:54:51 | createUserInDatabase | INFO | Empty username or password supplied...
2023-09-29 08:54:51 | createUserInDatabase | INFO | User name or password is null or empty: Username or password cannot be null or empty!
2023-09-29 08:54:52 | createBillingTrigger | INFO | Trigger exists, skipping creation.
2023-09-29 08:55:54 | createUserInDatabase | INFO | Creating default user admin in database.
2023-09-29 08:55:54 | createUserInDatabase | INFO | admin User Created Successfully in Database.
2023-09-29 08:55:55 | createBillingTrigger | INFO | Trigger exists, skipping creation.
2023-09-29 08:56:14 | login | INFO | Login attempt from: admin successful 

2023-09-29 09:16:22 | createUserInDatabase | INFO | Creating default user admin in database.
2023-09-29 09:16:22 | userExistsInDatabase | INFO | Database Error Finding Existing User: Table 'pointofsale.users' doesn't exist
2023-09-29 09:16:22 | createUserInDatabase | INFO | Database Exception: Table 'pointofsale.users' doesn't exist
2023-09-29 09:16:24 | createDatabaseTables | INFO | Database Error Creating Tables: You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'FALSEa)' at line 5
2023-09-29 09:17:21 | createBillingTrigger | INFO | Trigger created successfully.
2023-09-29 09:17:21 | createUserInDatabase | INFO | Creating default user admin in database.
2023-09-29 09:17:21 | createUserInDatabase | INFO | admin User Created Successfully in Database.
2023-09-29 09:17:40 | login | INFO | Login attempt from: admin successful 

2023-09-29 09:18:05 | createOrderInDatabase | INFO | Order Created In the Database Successfully
2023-09-29 09:18:05 | createOrderInDatabase | INFO | Retrieving the Order ID...
2023-09-29 09:18:05 | createOrderInDatabase | INFO | Order ID Retrieval Completed.1
2023-09-29 09:18:05 | insertOrderItemsToDatabase | INFO | Batch Insert of cart items into database completed.
2023-09-29 09:18:06 | getCartItemsFromDb | INFO | Cart Items start retrieving from the database.
2023-09-29 09:18:06 | getCartItemsFromDb | INFO | Cart Items retrieval finished from the database.
2023-09-29 09:18:06 | getCartItemsFromDb | INFO | Cart Items: [Cart{item=Item{id=223, itemPrice=400.0}, itemQuantity=4}, Cart{item=Item{id=400, itemPrice=6.0}, itemQuantity=300}]
2023-09-29 09:18:06 | billing | INFO | Billing Completed for order 1!..
2023-09-29 09:18:12 | updateOrderStatusToCompleted | INFO | Order 1status updated
2023-09-29 09:25:49 | createBillingTrigger | INFO | Trigger exists, skipping creation.
2023-09-29 09:25:49 | createUserInDatabase | INFO | Creating default user admin in database.
2023-09-29 09:25:49 | createUserInDatabase | INFO | Exception Creating User: User with username admin already exists!
2023-09-29 09:26:57 | createBillingTrigger | INFO | Trigger exists, skipping creation.
2023-09-29 09:26:57 | createUserInDatabase | INFO | Creating default user admin in database.
2023-09-29 09:26:57 | createUserInDatabase | INFO | Exception Creating User: User with username admin already exists!
2023-09-29 09:29:24 | createBillingTrigger | INFO | Trigger exists, skipping creation.
2023-09-29 09:29:25 | createUserInDatabase | INFO | Creating default user admin in database.
2023-09-29 09:29:25 | createUserInDatabase | INFO | admin User Created Successfully in Database.
2023-09-29 09:30:29 | login | INFO | Login attempt from: admin successful 

